#Precision	Relative Error
-2.302585092994045	-3.028789071246599
-4.605170185988091	-5.301647923339621
-6.907755278982137	-7.601235764859290
-9.210340371976182	-9.903520873222703
-11.512925464970229	-12.206074753033162
-13.815510557964274	-14.508541811890275
-16.118095650958320	-16.782841915368184
-18.420680743952367	-19.835779488296431
-20.723265836946410	-16.291084951678105
-23.025850929940457	-13.753153410970409
-25.328436022934504	-12.349534736595087
-27.631021115928547	-12.349534736595087
-29.933606208922594	-8.693315651016084
-32.236191301916641	-5.673700838565042
-34.538776394910684	-3.923475439896544
