#Precision	Relative Error
-2.302585092994045	-2.962119935738034
-4.605170185988091	-5.294981254203224
-6.907755278982137	-7.600569098654016
-9.210340371976182	-9.903454205144484
-11.512925464970229	-12.206066131883814
-13.815510557964274	-14.508782343177174
-16.118095650958320	-16.782004283573176
-18.420680743952367	-19.835779488296431
-20.723265836946410	-16.350574782211684
-23.025850929940457	-14.378734472447675
-25.328436022934504	-11.330157272562207
-27.631021115928547	-8.746357819717435
-29.933606208922594	-8.693315651016084
-32.236191301916641	-5.673700838565042
-34.538776394910684	-1.940730360208548
