#Step Size	Relative Error
0.000000000000000	-3.206882425755310
-1.098612288668110	-5.378514915232588
-2.197224577336220	-7.572863014979982
-3.295836866004329	-9.769767570849936
-4.394449154672439	-11.966956585133243
-5.493061443340548	-14.164177211236128
-6.591673732008658	-16.361401342640285
-7.690286020676768	-18.558625832621455
-8.788898309344878	-20.755847487688545
-9.887510598012987	-22.953072065024763
-10.986122886681096	-25.151063519094890
-12.084735175349207	-27.348482914277039
-13.183347464017316	-29.541818327741733
-14.281959752685426	-31.940587344588703
-15.380572041353537	-32.577645058497602
