#Step Size	Relative Error
0.000000000000000	-2.501320134640487
-1.098612288668110	-4.683979901212991
-2.197224577336220	-6.879561526472808
-3.295836866004329	-9.076603243678532
-4.394449154672439	-11.273807499390330
-5.493061443340548	-13.471029818972886
-6.591673732008658	-15.668254139829523
-7.690286020676768	-17.865478770732519
-8.788898309344878	-20.062705113301647
-9.887510598012987	-22.259935698386663
-10.986122886681096	-24.457045533959306
-12.084735175349207	-26.653680990554680
-13.183347464017316	-28.858765593222547
-14.281959752685426	-30.953766461908707
-15.380572041353537	-31.960005430445804
