#E	Cross Section
0.000000	10.600000
2.000000	29.346596
4.000000	41.096063
6.000000	47.377717
8.000000	49.501783
10.000000	48.580983
12.000000	45.550685
14.000000	41.187671
16.000000	36.127573
18.000000	30.881042
20.000000	25.848706
22.000000	21.334974
24.000000	17.560733
26.000000	14.675003
28.000000	12.765588
30.000000	11.868785
32.000000	11.978193
34.000000	13.052678
36.000000	15.023529
38.000000	17.800868
40.000000	21.279337
42.000000	25.343129
44.000000	29.870388
46.000000	34.737020
48.000000	39.819974
50.000000	45.000000
52.000000	50.163953
54.000000	55.206657
56.000000	60.032378
58.000000	64.555930
60.000000	68.703452
62.000000	72.412890
64.000000	75.634208
66.000000	78.329361
68.000000	80.472058
70.000000	82.047339
72.000000	83.050998
74.000000	83.488868
76.000000	83.375998
78.000000	82.735738
80.000000	81.598761
82.000000	80.002031
84.000000	77.987751
86.000000	75.602286
88.000000	72.895098
90.000000	69.917699
92.000000	66.722635
94.000000	63.362511
96.000000	59.889078
98.000000	56.352384
100.000000	52.800000
102.000000	49.276326
104.000000	45.821991
106.000000	42.473344
108.000000	39.262046
110.000000	36.214762
112.000000	33.352960
114.000000	30.692808
116.000000	28.245177
118.000000	26.015753
120.000000	24.005232
122.000000	22.209629
124.000000	20.620653
126.000000	19.226190
128.000000	18.010836
130.000000	16.956516
132.000000	16.043145
134.000000	15.249339
136.000000	14.553156
138.000000	13.932860
140.000000	13.367674
142.000000	12.838540
144.000000	12.328828
146.000000	11.825013
148.000000	11.317273
150.000000	10.800000
152.000000	10.272200
154.000000	9.737757
156.000000	9.205542
158.000000	8.689329
160.000000	8.207502
162.000000	7.782531
164.000000	7.440162
166.000000	7.208322
168.000000	7.115683
170.000000	7.189869
172.000000	7.455263
174.000000	7.930374
176.000000	8.624743
178.000000	9.535340
180.000000	10.642410
182.000000	11.904737
184.000000	13.254281
186.000000	14.590146
188.000000	15.771827
190.000000	16.611712
192.000000	16.866772
194.000000	16.229396
196.000000	14.317343
198.000000	10.662724
200.000000	4.700000
