#E	Cross Section
0.000000	10.600000
2.000000	10.163520
4.000000	9.878080
6.000000	9.743680
8.000000	9.760320
10.000000	9.928000
12.000000	10.246720
14.000000	10.716480
16.000000	11.337280
18.000000	12.109120
20.000000	13.032000
22.000000	14.105920
24.000000	15.330880
26.000000	16.706880
28.000000	18.233920
30.000000	19.912000
32.000000	21.741120
34.000000	23.721280
36.000000	25.852480
38.000000	28.134720
40.000000	30.568000
42.000000	33.152320
44.000000	35.887680
46.000000	38.774080
48.000000	41.811520
50.000000	45.000000
52.000000	50.626560
54.000000	55.810240
56.000000	60.551040
58.000000	64.848960
60.000000	68.704000
62.000000	72.116160
64.000000	75.085440
66.000000	77.611840
68.000000	79.695360
70.000000	81.336000
72.000000	82.533760
74.000000	83.288640
76.000000	83.600640
78.000000	83.469760
80.000000	82.896000
82.000000	81.879360
84.000000	80.419840
86.000000	78.517440
88.000000	76.172160
90.000000	73.384000
92.000000	70.152960
94.000000	66.479040
96.000000	62.362240
98.000000	57.802560
100.000000	52.800000
102.000000	49.292160
104.000000	45.936640
106.000000	42.733440
108.000000	39.682560
110.000000	36.784000
112.000000	34.037760
114.000000	31.443840
116.000000	29.002240
118.000000	26.712960
120.000000	24.576000
122.000000	22.591360
124.000000	20.759040
126.000000	19.079040
128.000000	17.551360
130.000000	16.176000
132.000000	14.952960
134.000000	13.882240
136.000000	12.963840
138.000000	12.197760
140.000000	11.584000
142.000000	11.122560
144.000000	10.813440
146.000000	10.656640
148.000000	10.652160
150.000000	10.800000
152.000000	10.632800
154.000000	10.459200
156.000000	10.279200
158.000000	10.092800
160.000000	9.900000
162.000000	9.700800
164.000000	9.495200
166.000000	9.283200
168.000000	9.064800
170.000000	8.840000
172.000000	8.608800
174.000000	8.371200
176.000000	8.127200
178.000000	7.876800
180.000000	7.620000
182.000000	7.356800
184.000000	7.087200
186.000000	6.811200
188.000000	6.528800
190.000000	6.240000
192.000000	5.944800
194.000000	5.643200
196.000000	5.335200
198.000000	5.020800
200.000000	4.700000
