#x	f(x)
0.000000	-0.178242
0.100000	-0.127931
0.200000	-0.105988
0.300000	-0.088715
0.400000	-0.073860
0.500000	-0.060550
0.600000	-0.048340
0.700000	-0.036962
0.800000	-0.026244
0.900000	-0.016066
1.000000	-0.006340
1.100000	0.003000
1.200000	0.012005
1.300000	0.020716
1.400000	0.029166
1.500000	0.037383
1.600000	0.045389
1.700000	0.053204
1.800000	0.060844
1.900000	0.068323
2.000000	0.075654
2.100000	0.082848
2.200000	0.089913
2.300000	0.096860
2.400000	0.103694
2.500000	0.110423
2.600000	0.117054
2.700000	0.123591
2.800000	0.130040
2.900000	0.136406
3.000000	0.142691
3.100000	0.148901
3.200000	0.155039
3.300000	0.161109
3.400000	0.167112
3.500000	0.173052
3.600000	0.178932
3.700000	0.184754
3.800000	0.190520
3.900000	0.196233
4.000000	0.201894
4.100000	0.207505
4.200000	0.213068
4.300000	0.218585
4.400000	0.224057
4.500000	0.229485
4.600000	0.234872
4.700000	0.240218
4.800000	0.245524
4.900000	0.250792
5.000000	0.256023
